car_id,detection_time,sensor,cubic_capacity,sighting_id
TILX0000645876,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6351.0,1230614
TILX0000638252,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6351.0,1230614
DOWX0000060222,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6241.0,1230614
NCLX0000000143,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6245.0,1230614
CRDX0000015075,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6300.0,1230614
DOWX0000060559,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6241.0,1230614
DOWX0000060617,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6241.0,1230614
CCBX0000058924,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6270.0,1230614
NCIX0000008482,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6340.0,1230614
NCIX0000007715,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6400.0,1230614
TILX0000636334,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6351.0,1230614
TILX0000635396,2024-01-16 16:36:49.299000+00:00,"Phelan, BC",6351.0,1230614
DOWX0000069252,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6224.0,1236940
CCBX0000072088,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6221.0,1236940
DOWX0000069937,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6224.0,1236940
CCBX0000071711,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6221.0,1236940
DOWX0000068352,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6200.0,1236940
CCBX0000072335,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6221.0,1236940
DOWX0000069119,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6200.0,1236940
DOWX0000060891,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6241.0,1236940
CCBX0000058826,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6270.0,1236940
DOWX0000069628,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6224.0,1236940
CCBX0000059642,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6200.0,1236940
DOWX0000068744,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6224.0,1236940
DOWX0000062249,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6270.0,1236940
DOWX0000066130,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6224.0,1236940
CCBX0000072635,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6221.0,1236940
CCBX0000072164,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6221.0,1236940
CCBX0000071465,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6221.0,1236940
DOWX0000069310,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6224.0,1236940
DOWX0000066556,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6224.0,1236940
CCBX0000071375,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6221.0,1236940
DOWX0000068716,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6224.0,1236940
CCBX0000071129,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6270.0,1236940
DOWX0000060450,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6241.0,1236940
CCBX0000058816,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6270.0,1236940
DOWX0000067213,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6241.0,1236940
CCBX0000058652,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6270.0,1236940
CCBX0000073120,2024-01-18 23:57:55.385000+00:00,"Terrace, BC",6221.0,1236940
CCBX0000072335,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6221.0,1237185
CCBX0000071375,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6221.0,1237185
CCBX0000071129,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6270.0,1237185
DOWX0000062249,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6270.0,1237185
DOWX0000069119,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6200.0,1237185
DOWX0000060891,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6241.0,1237185
CCBX0000058826,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6270.0,1237185
CCBX0000072164,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6221.0,1237185
CCBX0000059642,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6200.0,1237185
DOWX0000066130,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6224.0,1237185
DOWX0000068352,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6200.0,1237185
DOWX0000069310,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6224.0,1237185
DOWX0000067213,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6241.0,1237185
DOWX0000066556,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6224.0,1237185
CCBX0000071465,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6221.0,1237185
DOWX0000069628,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6224.0,1237185
DOWX0000069937,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6224.0,1237185
DOWX0000068716,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6224.0,1237185
CCBX0000073120,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6221.0,1237185
CCBX0000072635,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6221.0,1237185
DOWX0000060450,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6241.0,1237185
CCBX0000058816,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6270.0,1237185
DOWX0000069252,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6224.0,1237185
CCBX0000058652,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6270.0,1237185
CCBX0000072088,2024-01-19 02:15:33.234000+00:00,"Phelan, BC",6221.0,1237185
TILX0000639284,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000640333,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000636258,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000638267,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000637919,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000640520,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000637334,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000638632,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000636138,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000639262,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000636754,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000642549,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000639285,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000635999,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000637970,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000636043,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
TILX0000636351,2024-01-19 22:32:52.305000+00:00,"Phelan, BC",6351.0,1239316
